CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
04-1-089060,43.9991,286.932,43.9991,286.932,1.2159,0.0155949,1.2456,1.18578,0.306185,1.05045,94.316,0.000202895,0.000269047,0.0151748,0.0144593,11.3596,0.0510179,0.0181065,1,14
04-1-089062,44.5958,286.743,44.5957,286.743,1.17401,0.023066,1.20793,1.1371,0.337384,1.06228,77.1544,0.000282908,0.000371965,0.0208663,0.020182,13.1362,0.0650539,0.02631,1,15
04-1-089064,44.4583,286.43,44.4583,286.43,1.00944,0.0240365,1.07365,0.949716,0.466407,1.13049,97.4658,0.000253466,0.00031131,0.0190687,0.0165823,6.52056,0.0417831,0.0281559,1,12
04-1-089065,44.8636,286.297,44.8636,286.297,1.12387,0.0392223,1.17749,1.06726,0.422447,1.10328,92.1239,0.000357528,0.00046184,0.0270653,0.024897,10.3749,0.0636883,0.0361318,1,14
04-1-089066,44.3301,285.901,44.3301,285.901,1.00659,0.0281529,1.04132,0.965084,0.375591,1.079,127.927,0.000288623,0.000376001,0.0209531,0.0212126,12.2152,0.0681475,0.0321534,1,14
04-1-089070,44.3659,285.418,44.3658,285.418,1.20064,0.0389496,1.2935,1.10975,0.513749,1.16558,86.7187,0.000311546,0.000384723,0.0229784,0.0205068,5.52905,0.0367248,0.0298772,1,13
04-1-089073,44.5618,284.336,44.5617,284.336,2.72237,0.0676145,2.88767,2.55037,0.469008,1.13225,74.6933,0.000324933,0.00044304,0.0244818,0.0232302,3.26724,0.0206956,0.0140893,1,23
04-1-089074,44.9318,284.248,44.9319,284.249,4.51631,0.133185,4.88757,4.17195,0.520956,1.17153,33.4955,0.00028464,0.000492375,0.0260432,0.0215792,1.50472,0.0103861,0.00869989,0.926143,48
04-1-089075,44.5244,284.442,44.5246,284.446,4.69787,0.170398,5.19223,4.13156,0.605665,1.25672,51.9003,0.000387984,0.000369396,0.0239941,0.021663,1.00899,0.00730646,0.00878334,0.698549,34
04-1-089076,44.6246,284.377,44.6264,284.377,2.25983,0.0420875,2.4376,2.18587,0.442576,1.11516,88.9404,0.000494492,0.000307025,0.0385419,0.0171229,3.32266,0.0320604,0.0196775,0.766575,18
04-1-089077,44.6157,283.873,44.6156,283.873,1.06542,0.0282234,1.13154,1.00057,0.466998,1.13089,75.3411,0.000271777,0.000331524,0.0204686,0.0180399,6.48326,0.0427624,0.0288828,1,11
04-1-089078,44.5446,283.811,44.5444,283.811,1.04885,0.0277771,1.10518,0.998077,0.429446,1.10731,56.5057,0.000312731,0.000358591,0.0229634,0.0190169,9.15187,0.0535395,0.0312166,0.823215,10
04-1-089079,44.4227,283.655,44.4226,283.656,1.66263,0.046147,1.78126,1.52593,0.515893,1.16733,61.3345,0.000204063,0.000271799,0.0149232,0.0149914,2.6487,0.0183666,0.0150721,1,17
04-1-089080,44.6688,283.562,44.6687,283.561,2.08403,0.0497995,2.24031,1.92558,0.511107,1.16344,104.291,0.000164622,0.000213499,0.0120458,0.0109774,1.78948,0.011327,0.00911725,1,18
04-1-089088,44.9929,283.47,44.9939,283.471,2.21656,0.0408251,2.29257,2.07293,0.427121,1.10596,136.132,0.000249974,0.000320968,0.01521,0.0218662,3.10791,0.0238528,0.0137818,0.760317,17
04-1-089089,44.9352,283.563,44.9351,283.563,1.1021,0.0207534,1.16259,1.04587,0.436708,1.1116,85.8894,0.0001206,0.000153715,0.00885826,0.00799647,3.45347,0.0200032,0.0119988,1,11
04-1-089091,44.915,283.309,44.9167,283.312,3.54849,0.121246,4.01315,3.22006,0.596816,1.2463,32.2145,0.000351634,0.000552831,0.0337133,0.0209377,1.37408,0.0114596,0.0132396,0.843332,34
04-1-089092,44.8397,283.387,44.8402,283.387,2.05755,0.0996795,2.33132,1.77716,0.647225,1.31182,71.4,0.000452707,0.000513559,0.0304419,0.0269879,2.73456,0.0179818,0.0262731,0.858382,16
04-1-089093,44.9358,283.436,44.9352,283.437,1.54276,0.0697152,1.67324,1.34528,0.594631,1.24378,66.3906,0.000512612,0.000638421,0.0280483,0.03566,5.71861,0.0340943,0.0390088,0.743429,12
04-1-089096,44.484,282.982,44.4835,282.982,1.22651,0.0713687,1.39165,1.02858,0.673585,1.35298,114.01,0.000589579,0.00068834,0.0408826,0.0385981,5.1449,0.0386501,0.0644787,0.788139,12
04-1-089099,44.4482,282.407,44.4481,282.407,1.44787,0.0395941,1.54443,1.35197,0.483433,1.14236,83.9116,0.000275438,0.000342724,0.0203895,0.0182328,4.67524,0.0299147,0.021559,1,13
04-1-089100,44.3963,282.146,44.3961,282.147,2.63824,0.034768,2.70592,2.51037,0.373243,1.0779,62.334,0.00014114,0.00032172,0.0104668,0.0170924,3.28565,0.0180576,0.00844075,0.762394,19
04-1-089101,44.4106,282.071,44.4116,282.071,1.90735,0.0546767,2.08645,1.78747,0.515801,1.16726,96.0075,0.000446055,0.000382723,0.0320431,0.0193695,4.01182,0.0267452,0.0219396,0.791588,14
04-1-089102,44.3887,281.985,44.3885,281.986,2.35157,0.0813934,2.51005,2.1427,0.520848,1.17144,100.518,0.000314762,0.000481743,0.023652,0.0266928,3.02802,0.0218537,0.0182978,0.811477,18
04-1-089103,44.4578,282.084,44.4578,282.084,1.23359,0.0344167,1.30881,1.15888,0.464745,1.12938,123.774,0.000311251,0.000415047,0.0237155,0.0215651,6.93263,0.0438161,0.0293335,1,12
04-1-089104,44.5113,282.087,44.5103,282.087,1.84234,0.0472313,2.01357,1.72332,0.517218,1.16842,85.2061,0.000389256,0.000358558,0.0316394,0.0203891,3.21252,0.0278556,0.022982,0.828891,15
04-1-089105,44.5347,282.234,44.5338,282.236,5.01461,0.0683787,5.14774,4.74559,0.387477,1.08474,63.3171,0.000242135,0.000384504,0.0160222,0.0249078,1.96118,0.0133838,0.00661918,0.780041,40
04-1-089106,44.5823,282.157,44.5838,282.154,3.49015,0.060732,3.54372,3.22622,0.413713,1.09841,59.447,0.000518386,0.0010599,0.0258967,0.0656005,4.54679,0.0432876,0.0237332,0.701693,22
04-1-089107,44.6663,281.954,44.6665,281.957,1.62628,0.0300766,1.66049,1.43662,0.501464,1.15583,90.2685,0.000361973,0.00112088,0.0224713,0.0596175,6.2586,0.0651552,0.0504511,0.669903,10
04-1-089108,44.7982,282.067,44.7982,282.067,1.21914,0.039881,1.2648,1.16786,0.383943,1.08301,101.694,0.000398663,0.000544248,0.0294059,0.0281702,14.2377,0.074394,0.0362824,1,13
04-1-089109,44.8697,281.96,44.8698,281.961,1.40263,0.0541187,1.52402,1.27027,0.552516,1.19976,75.4021,0.000260543,0.000337497,0.0189157,0.0179428,3.416,0.0236433,0.0225597,1,16
04-1-089110,44.6445,281.808,44.6446,281.808,3.29552,0.0877247,3.51001,3.07163,0.483933,1.14272,111.383,0.000282666,0.000400865,0.0215445,0.020469,2.23687,0.0143371,0.010353,0.937706,34
04-1-089113,44.1903,281.651,44.1897,281.65,1.29499,0.0666388,1.47355,1.13627,0.636696,1.29682,104.779,0.000425978,0.00045929,0.029128,0.0225748,4.36593,0.0261739,0.0363448,0.818753,11
04-1-089114,44.074,281.648,44.074,281.648,1.09626,0.0227753,1.14627,1.04822,0.404676,1.09354,98.2343,0.000187126,0.000233966,0.0137099,0.0123868,6.36555,0.0347442,0.0183863,1,10
04-1-089115,44.0138,281.664,44.0144,281.664,1.56464,0.0726062,1.80506,1.35059,0.663444,1.33649,124.429,0.000247278,0.000313195,0.0207654,0.0156853,1.61059,0.0137942,0.0218475,1,12
