selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-082581, 581032.56653049, -1214775.43424619, 1097852.70459337, 1.06, 0.97, 2.19
04-1-082582, 582237.71802772, -1227571.86806781, 1082878.25189833, 1.14, 1.04, 1.68
04-1-082586, 591950.71457384, -1211853.12213165, 1095246.60323386, 1.19, 1.09, 1.49
04-1-082589, 602333.19616728, -1205826.37203158, 1096237.31067140, 1.09, 0.92, 1.67
04-1-082598, 610317.02769564, -1207332.10918829, 1090147.26703676, 1.12, 1.01, 2.30
04-1-082606, 657975.45728470, -1168433.45264231, 1104712.77912287, 1.41, 1.27, 1.64
04-1-082607, 662971.41561182, -1168749.98807175, 1101386.00293627, 1.22, 0.99, 1.91
04-1-082614, 655364.09288106, -1188709.66361369, 1084447.32531996, 1.09, 1.04, 1.93
04-1-082618, 674248.59326014, -1174593.27391762, 1088245.48487655, 1.14, 1.06, 0.53
04-1-082619, 684608.91462352, -1169317.81465276, 1087458.15659900, 1.12, 1.04, 1.75
04-1-082621, 686846.59743476, -1155770.36151792, 1100452.35382047, 1.04, 0.97, 2.21
04-1-082625, 689368.26571902, -1171998.36266245, 1081549.81028896, 1.32, 1.20, 2.02
04-1-082627, 689613.31060553, -1157847.67598510, 1096531.34978056, 1.35, 1.19, 1.68
04-1-082628, 695986.74301093, -1147402.14533235, 1103462.51881963, 1.06, 0.98, 1.90
04-1-082630, 711856.16723499, -1152053.59365292, 1088389.67034831, 1.19, 1.07, 1.34
04-1-082633, 714715.87739095, -1137369.37441151, 1101876.07322968, 1.18, 1.09, 2.05
04-1-082637, 718846.20505109, -1148029.96736894, 1088046.91420292, 1.38, 1.24, 1.77
04-1-082639, 727045.10699269, -1145109.58597979, 1085674.08023549, 1.67, 1.52, 1.40
04-1-082640, 733994.09319366, -1145114.92373962, 1080982.53574497, 1.50, 1.20, 1.51
04-1-082643, 736431.08387178, -1140049.93576116, 1084672.37573307, 6.78, 6.58, 0.23
04-1-082644, 729106.31646394, -1143146.37447527, 1086360.48612624, 1.09, 0.94, 1.48
04-1-082656, 821448.26163464, -1071926.08504059, 1093048.93836780, 1.41, 1.33, 1.09
